HouseWeb,Address,Price,PropertyType,Bedroom,BedroomPlus,Bathroom,SquareFootage,Style,DatePosted,BuildingAge,City,Region,HouseAddress,Lat_Long
https://www.zolo.ca/markham-real-estate/28-angela-court,"28 Angela Court, Markham, Middlefield",1599000,Detached,4,2,4,,2-Storey,2024-01-11,0,markham,york region,"28 angela court, markham","(43.84847421378291, -79.25517943653054)"
https://www.zolo.ca/markham-real-estate/128-krieghoff-avenue,"128 Krieghoff Avenue, Markham, Unionville",2790000,Detached,4,,4,,2-Storey,2024-01-11,0,markham,york region,"128 krieghoff avenue, markham","(43.86548168205911, -79.32381867399617)"
https://www.zolo.ca/markham-real-estate/86-springfield-drive,"86 Springfield Drive, Markham Milliken Mills, East",1958000,Detached,4,1,4,2500-3000,2-Storey,2024-01-11,0,markham,york region,"86 springfield drive, markham","(43.84557080634198, -79.29183567841157)"
https://www.zolo.ca/markham-real-estate/67-grandlea-crescent,"67 Grandlea Crescent, Markham Rouge, Fairways",1659000,Detached,4,2,4,2500-3000,2-Storey,2024-01-11,30,markham,york region,"67 grandlea crescent, markham","(43.85694530040814, -79.23954257706158)"
https://www.zolo.ca/markham-real-estate/85-the-boardwalk-way/216,"216 - 85 The Boardwalk Way, Markham, Greensborough",719000,Condo Apt,2,,2,1000-1199,Apartment,2024-01-11,0,markham,york region,"85 the boardwalk way/216, markham","(43.89793087909834, -79.2470815960537)"
https://www.zolo.ca/markham-real-estate/60-inverlochy-boulevard/203,"203 - 60 Inverlochy Boulevard, Markham, Thornhill",609000,Condo Apt,2,,2,1000-1199,Apartment,2024-01-11,0,markham,york region,"60 inverlochy boulevard/203, markham","(43.82084821528795, -79.42443227368614)"
https://www.zolo.ca/markham-real-estate/52-titan-trail,"52 Titan Trail, Markham, Cedarwood",1599000,Detached,4,1,5,2000-2500,2-Storey,2024-01-11,5,markham,york region,"52 titan trail, markham","(43.84439419668374, -79.23906656878026)"
https://www.zolo.ca/markham-real-estate/9700-ninth-line/106,"106 - 9700 Ninth Line, Markham, Greensborough",749900,Comm Element Condo,2,1,2,800-899,Apartment,2024-01-10,5,markham,york region,"9700 ninth line/106, markham","(43.9081257041116, -79.24320840241536)"
https://www.zolo.ca/markham-real-estate/35-robert-joffree-leet-avenue,"35 Robert Joffree Leet Avenue, Markham, Cornell",1199900,Att/Row/Twnhouse,3,,3,,3-Storey,2024-01-10,0,markham,york region,"35 robert joffree leet avenue, markham","(43.8831643126361, -79.2216218166154)"
https://www.zolo.ca/markham-real-estate/23-cox-boulevard/552,"552 - 23 Cox Boulevard, Markham, Unionville",828888,Condo Apt,2,1,2,800-899,Apartment,2024-01-10,0,markham,york region,"23 cox boulevard/552, markham","(43.85411728818627, -79.34094759604938)"
https://www.zolo.ca/markham-real-estate/47-elson-street,"47 Elson Street, Markham, Middlefield",1720000,Detached,4,2,4,,2-Storey,2024-01-10,0,markham,york region,"47 elson street, markham","(43.83593517999907, -79.27196361090614)"
https://www.zolo.ca/markham-real-estate/165-trail-ridge-lane,"165 Trail Ridge Lane, Markham, Berczy",1000000,Att/Row/Twnhouse,3,1,3,1500-2000,2-Storey,2024-01-10,0,markham,york region,"165 trail ridge lane, markham","(43.88691739360192, -79.29093822803857)"
https://www.zolo.ca/markham-real-estate/2-padget-place,"2 Padget Place, Markham, Unionville",1888000,Detached,4,2,4,,Backsplit 4,2024-01-10,0,markham,york region,"2 padget place, markham","(43.86832230904528, -79.32832528805748)"
https://www.zolo.ca/markham-real-estate/8-rouge-valley-drive-west/505,"505 - 8 Rouge Valley Drive WMarkham, Unionville",824900,Condo Apt,2,,2,700-799,Apartment,2024-01-10,0,markham,york region,"8 rouge valley drive west/505, markham","(43.84940049790285, -79.33019529065592)"
https://www.zolo.ca/markham-real-estate/68-burwell-crescent,"68 Burwell Crescent, Markham, Raymerville",1690000,Detached,3,1,3,,2-Storey,2024-01-09,0,markham,york region,"68 burwell crescent, markham","(43.87993409479034, -79.26710562746372)"
https://www.zolo.ca/markham-real-estate/1770-john-street,"1770 John Street, Markham Bayview Fairway-bayview Country Club, Estates",849888,Condo Townhouse,3,,2,1000-1199,2-Storey,2024-01-09,0,markham,york region,"1770 john street, markham","(43.82127741064005, -79.38047187373995)"
