HouseWeb,Address,Price,PropertyType,Bedroom,BedroomPlus,Bathroom,SquareFootage,Style,Age,Community,DatePosted
https://www.zolo.ca/ajax-real-estate/19-york-street,"19 York Street, Ajax, Central",749000,Detached,3,,2,,1 1/2 Storey,,,2023-11-30
https://www.zolo.ca/ajax-real-estate/55-medley-lane/69,"69 - 55 Medley Lane, Ajax South, West",819000,Detached,3,,1,,2-Storey,,,2023-11-29
https://www.zolo.ca/ajax-real-estate/82-tams-drive,"82 Tams Drive, Ajax Central, East",840000,Semi-Detached,3,,2,,2-Storey,,,2023-11-29
https://www.zolo.ca/ajax-real-estate/62-batt-crescent,"62 Batt Crescent, Ajax Northwest, Ajax",1125000,Detached,3,2,4,2000-2500,2-Storey,16-30,,2023-11-27
https://www.zolo.ca/ajax-real-estate/22-tams-drive,"22 Tams Drive, Ajax Central, East",899000,Detached,3,,2,,2-Storey,,,2023-11-25
https://www.zolo.ca/ajax-real-estate/68-abela-lane,"68 Abela Lane, Ajax, Central",585000,Condo Townhouse,2,,1,800-899,Bungalow,6-10,,2023-11-22
https://www.zolo.ca/ajax-real-estate/2928-beachview-street,"2928Beachview Street, Ajax South, East",,Detached,3,2,2,,Bungalow,,,2023-11-17
https://www.zolo.ca/ajax-real-estate/9-willows-lane/122,"122 - 9 Willows Lane, Ajax, Central",688000,Condo Townhouse,3,,2,1000-1199,2-Storey,31-50,,2023-11-16
https://www.zolo.ca/ajax-real-estate/53-georgina-drive,"53 Georgina Drive, Ajax Central, West",1380000,Detached,4,1,4,2000-2500,2-Storey,,,2023-11-15
https://www.zolo.ca/ajax-real-estate/19-coppini-lane,"19 Coppini Lane, Ajax South, East",958985,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,,,2023-11-14
https://www.zolo.ca/ajax-real-estate/23-burnsborough-street,"23 Burnsborough Street, Ajax South, West",829000,Att/Row/Twnhouse,3,1,3,1500-2000,3-Storey,,,2023-11-07
https://www.zolo.ca/ajax-real-estate/62-swanston-crescent,"62 Swanston Crescent, Ajax South, West",1099999,Detached,3,,2,,2-Storey,,,2023-11-04
https://www.zolo.ca/ajax-real-estate/11-coppini-lane,"11 Coppini Lane, Ajax South, East",950000,Att/Row/Twnhouse,3,,3,1500-2000,2-Storey,New,,2023-11-01
https://www.zolo.ca/ajax-real-estate/520-danks-ridge-drive,"520 Danks Ridge Drive, Ajax South, East",1018000,Att/Row/Twnhouse,3,1,3,,3-Storey,,,2023-11-01
https://www.zolo.ca/ajax-real-estate/24-hoile-drive,"24 Hoile Drive, Ajax South, East",1128000,Detached,3,1,4,1500-2000,2-Storey,16-30,,2023-11-01
https://www.zolo.ca/ajax-real-estate/7-leggett-drive,"7 Leggett Drive, Ajax Northeast, Ajax",1220992,Detached,4,,3,2000-2500,2-Storey,,,2023-10-27
https://www.zolo.ca/ajax-real-estate/24-carberry-crescent,"24 Carberry Crescent, Ajax Northeast, Ajax",1399000,Detached,4,,3,2500-3000,2-Storey,,,2023-10-27
https://www.zolo.ca/ajax-real-estate/135-deacon-lane-west/135,"135 - 135 Deacon Lane WAjax South, East",785000,Condo Townhouse,4,1,3,1400-1599,3-Storey,31-50,,2023-10-21
https://www.zolo.ca/ajax-real-estate/11-burnsborough-street,"11 Burnsborough Street, Ajax South, West",829000,Att/Row/Twnhouse,3,1,3,1500-2000,3-Storey,,,2023-10-16
https://www.zolo.ca/ajax-real-estate/64-douet-lane,"64 Douet Lane, Ajax South, East",980000,Att/Row/Twnhouse,4,,4,1500-2000,3-Storey,0-5,,2023-10-16
https://www.zolo.ca/ajax-real-estate/22-love-crescent,"22 Love Crescent, Ajax South, West",1488000,Detached,4,2,4,,2-Storey,,,2023-09-29
https://www.zolo.ca/ajax-real-estate/28-coote-court/14,"14 - 28 Coote Court, Ajax Central, West",1199999,Att/Row/Twnhouse,3,,4,2000-2500,3-Storey,New,,2023-09-07
https://www.zolo.ca/ajax-real-estate/5-nimmo-lane,"5 Nimmo Lane, Ajax South, East",1079900,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,New,,2023-08-15
https://www.zolo.ca/ajax-real-estate/51-clements-road-east,"51 Clements Road EAjax South, East",1725000,Duplex,5,,3,2000-2500,Backsplit 3,,,2023-06-23
https://www.zolo.ca/ajax-real-estate/4-boyd-crescent,"4 Boyd Crescent, Ajax Northeast, Ajax",999000,Detached,4,,3,1500-2000,2-Storey,16-30,,2023-06-10
https://www.zolo.ca/clarington-real-estate/69-broadlands-crescent,"69 Broadlands Crescent, Clarington, Courtice",699000,Detached,3,,2,,Bungalow-Raised,,,2024-02-01
https://www.zolo.ca/clarington-real-estate/1667-nash-road/f8,"F8 - 1667 Nash Road, Clarington, Courtice",599900,Condo Townhouse,3,,3,1600-1799,Stacked Townhse,,,2024-02-01
https://www.zolo.ca/clarington-real-estate/93-sandringham-drive,"93 Sandringham Drive, Clarington, Courtice",799000,Detached,3,1,2,,Backsplit 4,,,2024-02-01
https://www.zolo.ca/clarington-real-estate/110-glen-eagles-drive,"110 Glen Eagles Drive, Clarington, Courtice",849900,Detached,3,,3,,2-Storey,,,2024-02-01
https://www.zolo.ca/clarington-real-estate/47-belsey-lane,"47 Belsey Lane, Clarington, Newcastle",1049000,Detached,3,1,4,2000-2500,2-Storey,,,2024-02-01
https://www.zolo.ca/clarington-real-estate/6840-soper-road-road,"6840 Soper Road Road, Clarington Rural, Clarington",1695000,Detached,4,0,3,,1 1/2 Storey,,,2024-02-01
https://www.zolo.ca/clarington-real-estate/71-noden-crescent,"71 Noden Crescent, Clarington, Newcastle",950000,Detached,3,,3,,2-Storey,,,2024-02-01
https://www.zolo.ca/clarington-real-estate/7-barchard-street,"7 Barchard Street, Clarington, Newcastle",869900,Detached,3,,2,1500-2000,Bungalow,6-15,,2024-02-01
https://www.zolo.ca/clarington-real-estate/14-higbee-lane,"14Higbee Lane, Clarington, Bowmanville",,Att/Row/Twnhouse,3,,4,1500-2000,3-Storey,0-5,,2024-01-31
https://www.zolo.ca/clarington-real-estate/1579-green-road,"1579 Green Road, Clarington, Bowmanville",810000,Att/Row/Twnhouse,4,1,3,,3-Storey,,,2024-01-31
https://www.zolo.ca/clarington-real-estate/1-sidney-lane/301,"301 - 1 Sidney Lane, Clarington, Bowmanville",499888,Condo Apt,2,,1,800-899,Apartment,,,2024-01-31
https://www.zolo.ca/clarington-real-estate/22-rickaby-street,"22 Rickaby Street, Clarington, Bowmanville",799000,Detached,3,2,3,,Bungalow-Raised,,,2024-01-31
https://www.zolo.ca/clarington-real-estate/102-aspen-springs-drive/111,"111 - 102 Aspen Springs Drive, Clarington, Bowmanville",469900,Condo Apt,2,,1,700-799,Apartment,,,2024-01-31
https://www.zolo.ca/clarington-real-estate/86-homefield-square,"86 Homefield Square, Clarington, Courtice",629000,Detached,3,1,2,,Backsplit 4,31-50,,2024-01-31
https://www.zolo.ca/clarington-real-estate/55-rex-tooley-lane,"55 Rex Tooley Lane, Clarington, Courtice",910000,Detached,3,,4,1500-2000,2-Storey,,,2024-01-31
https://www.zolo.ca/clarington-real-estate/59-trewin-lane,"59 Trewin Lane, Clarington, Bowmanville",719900,Att/Row/Twnhouse,3,,3,,2-Storey,,,2024-01-31
https://www.zolo.ca/clarington-real-estate/131-bill-hutchinson-crescent,"131 Bill Hutchinson Crescent, Clarington, Bowmanville",799000,Att/Row/Twnhouse,3,,3,1500-2000,2-Storey,0-5,,2024-01-31
https://www.zolo.ca/clarington-real-estate/173-glenabbey-drive,"173 Glenabbey Drive, Clarington, Courtice",899900,Detached,4,,4,1500-2000,2-Storey,6-15,,2024-01-31
https://www.zolo.ca/clarington-real-estate/29-church-street,"29 Church Street, Clarington, Bowmanville",514900,Semi-Detached,4,,2,,Bungaloft,,,2024-01-31
https://www.zolo.ca/clarington-real-estate/84-aspen-springs-drive/319,"319 - 84 Aspen Springs Drive, Clarington, Bowmanville",564900,Condo Apt,2,,2,700-799,Apartment,,,2024-01-31
https://www.zolo.ca/clarington-real-estate/4504-highway-2,"4504 Highway 2Clarington Rural, Clarington",,Commercial/Retail,,,,,,,,2024-01-31
https://www.zolo.ca/clarington-real-estate/30-ed-ewert-avenue,"30 Ed Ewert Avenue, Clarington, Newcastle",1175000,Detached,4,,3,,2-Storey,New,,2024-01-30
https://www.zolo.ca/clarington-real-estate/142-scottsdale-drive,"142 Scottsdale Drive, Clarington, Bowmanville",699000,Att/Row/Twnhouse,3,1,3,,2-Storey,,,2024-01-30
https://www.zolo.ca/clarington-real-estate/1430-gord-vinson-avenue/18,"18 - 1430 Gord Vinson Avenue, Clarington, Courtice",739000,Condo Townhouse,2,,2,1200-1399,Apartment,,,2024-01-30
https://www.zolo.ca/clarington-real-estate/21-kintyre-street,"21 Kintyre Street, Clarington, Courtice",949900,Detached,3,,3,2000-2500,2-Storey,,,2024-01-30
https://www.zolo.ca/clarington-real-estate/25-bradshaw-street,"25 Bradshaw Street, Clarington, Bowmanville",899900,Detached,3,,3,1500-2000,2-Storey,,,2024-01-29
https://www.zolo.ca/clarington-real-estate/6-jerome-way,"6 Jerome Way, Clarington, Bowmanville",759900,Att/Row/Twnhouse,3,,3,1500-2000,3-Storey,0-5,,2024-01-29
https://www.zolo.ca/clarington-real-estate/24-flaxman-avenue,"24 Flaxman Avenue, Clarington, Bowmanville",699900,Link,3,,4,,2-Storey,,,2024-01-29
https://www.zolo.ca/clarington-real-estate/51-charles-tilley-crescent,"51 Charles Tilley Crescent, Clarington Rural, Clarington",1499000,Detached,3,,3,,Bungalow,0-5,,2024-01-29
https://www.zolo.ca/clarington-real-estate/2030-newtonville-road,"2030 Newtonville Road, Clarington Rural, Clarington",500000,Detached,3,,2,,Bungalow,100+,,2024-01-27
https://www.zolo.ca/clarington-real-estate/1075-townline-road-north,"1075 Townline Road NClarington Rural, Clarington",949000,Detached,2,,2,,1 1/2 Storey,,,2024-01-27
https://www.zolo.ca/clarington-real-estate/25-lyle-drive,"25 Lyle Drive, Clarington, Bowmanville",998000,Detached,5,,4,,2-Storey,,,2024-01-26
https://www.zolo.ca/clarington-real-estate/12-fairway-drive,"12 Fairway Drive, Clarington, Newcastle",549900,Detached,2,,1,700-1100,Bungalow,,,2024-01-26
https://www.zolo.ca/clarington-real-estate/31-wilmot-trail,"31 Wilmot Trail, Clarington, Newcastle",499000,Detached,2,,2,,Bungalow,,,2024-01-26
https://www.zolo.ca/clarington-real-estate/61-clarington-boulevard/312,"312 - 61 Clarington Boulevard, Clarington, Bowmanville",529900,Condo Apt,2,,1,800-899,Apartment,,,2024-01-26
